role_id,role_name,domain,required_skill_ids,description,competency_groups
frontend-developer,Frontend Developer,Web Development,html|css|javascript|typescript|react|testing|deployment,Career route for a learner targeting the Frontend Developer role.,Web Development|Developer Tools|DevOps
backend-developer,Backend Developer,Web Development,python|javascript|sql|rest-api|postgresql|testing|deployment,Career route for a learner targeting the Backend Developer role.,Programming Foundations|Web Development|Databases|Developer Tools|DevOps
full-stack-developer,Full Stack Developer,Web Development,html|css|javascript|react|rest-api|sql|postgresql|testing|deployment,Career route for a learner targeting the Full Stack Developer role.,Web Development|Databases|Developer Tools|DevOps
python-developer,Python Developer,Web Development,python|git|sql|rest-api|testing|deployment,Career route for a learner targeting the Python Developer role.,Programming Foundations|Developer Tools|Databases|Web Development|DevOps
javascript-developer,JavaScript Developer,Web Development,javascript|typescript|nodejs|react|rest-api|testing|deployment,Career route for a learner targeting the JavaScript Developer role.,Web Development|Developer Tools|DevOps
data-analyst,Data Analyst,Data Analytics,excel|sql|pandas|statistics|data-viz|power-bi,Career route for a learner targeting the Data Analyst role.,Data Analytics|Databases|Math Foundations
data-scientist,Data Scientist,Machine Learning,python|pandas|numpy|statistics|machine-learning|data-viz,Career route for a learner targeting the Data Scientist role.,Programming Foundations|Data Analytics|Math Foundations|Machine Learning
data-engineer,Data Engineer,Data Engineering,python|sql|etl|data-warehouse|spark|kafka|data-quality,Career route for a learner targeting the Data Engineer role.,Programming Foundations|Databases|Data Engineering
machine-learning-engineer,Machine Learning Engineer,Machine Learning,python|pandas|numpy|statistics|machine-learning|ml-serving|mlops,Career route for a learner targeting the Machine Learning Engineer role.,Programming Foundations|Data Analytics|Math Foundations|Machine Learning|MLOps
deep-learning-engineer,Deep Learning Engineer,Deep Learning,python|pytorch|deep-learning|cnn|testing|ml-serving,Career route for a learner targeting the Deep Learning Engineer role.,Programming Foundations|Deep Learning|Developer Tools|MLOps
nlp-engineer,NLP Engineer,Deep Learning,python|nlp|transformers|embeddings|pytorch|testing,Career route for a learner targeting the NLP Engineer role.,Programming Foundations|Deep Learning|Developer Tools
computer-vision-engineer,Computer Vision Engineer,Deep Learning,python|numpy|computer-vision|opencv|pytorch|cnn,Career route for a learner targeting the Computer Vision Engineer role.,Programming Foundations|Data Analytics|Deep Learning
ai-llm-engineer,AI/LLM Engineer,Deep Learning,python|transformers|llms|embeddings|rag|vector-databases|llm-evaluation|agents,Career route for a learner targeting the AI/LLM Engineer role.,Programming Foundations|Deep Learning
mlops-engineer,MLOps Engineer,MLOps,python|docker|cicd|ml-serving|mlops|model-monitoring|kubernetes,Career route for a learner targeting the MLOps Engineer role.,Programming Foundations|DevOps|MLOps
devops-engineer,DevOps Engineer,DevOps,linux|networking|git|docker|kubernetes|cicd|terraform|observability,Career route for a learner targeting the DevOps Engineer role.,Developer Tools|Systems|DevOps
cloud-engineer,Cloud Engineer,Cloud,linux|networking|aws|cloud-architecture|terraform|kubernetes|observability,Career route for a learner targeting the Cloud Engineer role.,Developer Tools|Systems|Cloud|DevOps
sre,SRE,DevOps,linux|networking|docker|kubernetes|cicd|terraform|observability|sre-practices,Career route for a learner targeting the SRE role.,Developer Tools|Systems|DevOps
cybersecurity-engineer,Cybersecurity Engineer,Security,linux|networking|cybersecurity|ethical-hacking|appsec|cloud-security|soc,Career route for a learner targeting the Cybersecurity Engineer role.,Developer Tools|Systems|Security
mobile-developer,Mobile Developer,Mobile Development,javascript|react-native|flutter|testing|deployment,Career route for a learner targeting the Mobile Developer role.,Web Development|Mobile Development|Developer Tools|DevOps
android-developer,Android Developer,Mobile Development,java|android|sql|testing|deployment,Career route for a learner targeting the Android Developer role.,Programming Foundations|Mobile Development|Databases|Developer Tools|DevOps
ios-developer,iOS Developer,Mobile Development,ios|sql|testing|deployment,Career route for a learner targeting the iOS Developer role.,Mobile Development|Databases|Developer Tools|DevOps
blockchain-developer,Blockchain Developer,Blockchain,javascript|blockchain|solidity|smart-contracts|dapps|appsec,Career route for a learner targeting the Blockchain Developer role.,Web Development|Blockchain|Security
systems-engineer,Systems Engineer,Systems,cpp|operating-systems|networking|system-design|c-cpp-systems|observability,Career route for a learner targeting the Systems Engineer role.,Programming Foundations|Systems|DevOps
embedded-engineer,Embedded Engineer,Systems,cpp|embedded|operating-systems|networking|iot|c-cpp-systems|testing,Career route for a learner targeting the Embedded Engineer role.,Programming Foundations|Systems|Developer Tools
