course,skill_ids
Python for Absolute Beginners,python
HTML and CSS for Beginners,html|css
JavaScript Fundamentals,javascript
Java Programming Basics,java
C Plus Plus Programming Essentials,cpp
SQL for Beginners,sql
Git and GitHub Mastery,git
Linux Command Line Essentials,linux|shell
Excel for Data Analysis,excel
Python OOP Concepts,python-oop
Python Programming Masterclass,advanced-python
Python Automation and Scripting,python-automation
Advanced Python Development,advanced-python|python-production
Modern JavaScript ES6 Plus,javascript|javascript-async
TypeScript for Developers,typescript
Responsive Web Design,responsive-web
React.js Development,react
Angular Framework Essentials,angular
Vue.js for Beginners,vue
React Native Mobile Development,react-native
Flutter Cross Platform Apps,flutter|mobile-development
Android App Development,android
iOS App Development with Swift,ios|swift
Node.js Backend Development,nodejs
JavaScript Full Stack Development,javascript-fullstack
Django Web Framework,django
Flask API Development,flask
REST API Design Principles,rest-api
GraphQL API Development,graphql
Go Language for Backend,go
MongoDB for Developers,mongodb
PostgreSQL Database Design,postgresql|data-modeling
Advanced SQL and Query Optimization,advanced-sql|sql-optimization
Database Performance Tuning,database-performance
Redis Caching Strategies,redis
Data Warehouse Design,data-warehousing
ETL Pipeline Development,etl
Data Engineering with Apache Spark,spark
Apache Kafka for Real-time Data,kafka
Docker and Containerization,docker|containers
Kubernetes Orchestration,kubernetes
CI CD Pipeline Setup,cicd
DevOps Practices and Tools,devops
AWS Cloud Practitioner,aws
AWS Solutions Architect,aws-architecture
Azure Fundamentals,azure
Google Cloud Platform Basics,gcp
Cybersecurity Fundamentals,cybersecurity-fundamentals
Ethical Hacking Basics,ethical-hacking
Blockchain Development,blockchain
Smart Contract Programming with Solidity,solidity|smart-contracts
Embedded Systems Programming,embedded
IoT with Raspberry Pi,iot
Calculus for Data Science,calculus
Linear Algebra for Machine Learning,linear-algebra
Probability and Statistics,statistics|probability
Bayesian Statistics,bayesian-statistics
Hypothesis Testing in Practice,hypothesis-testing
Statistical Analysis with R,r-statistics
Data Analysis with Pandas,pandas|data-analysis
Exploratory Data Analysis,eda
Data Visualization with Matplotlib,matplotlib|data-visualization
Power BI Dashboard Creation,power-bi|bi
Tableau for Business Analytics,tableau|bi
Python for Data Science,python-data
Machine Learning Fundamentals,machine-learning
Feature Engineering for ML,feature-engineering
Supervised Learning Algorithms,supervised-learning
Unsupervised Learning Techniques,unsupervised-learning
Time Series Analysis,time-series
Reinforcement Learning Basics,reinforcement-learning
Deep Learning with TensorFlow,deep-learning|tensorflow
Deep Learning with PyTorch,deep-learning|pytorch
Advanced Neural Networks,neural-networks
Computer Vision with OpenCV,computer-vision|opencv
Natural Language Processing,nlp
Transfer Learning and Fine-tuning,transfer-learning
Generative AI and Prompt Engineering,genai|prompt-engineering
MLOps and Model Deployment,mlops|model-serving
Advanced Java and Spring Boot,java|spring-boot
