skill_id,canonical_name,aliases,domain,description,parent_skill,prerequisites,related_skills,applicable_roles
python,Python,py|python programming|python basics,Programming Foundations,Python as a practical professional skill.,,,pandas|django|fastapi|machine-learning,Python Developer|Backend Developer|Data Analyst|Data Scientist|Machine Learning Engineer|AI/LLM Engineer|Data Engineer
java,Java,java programming,Programming Foundations,Java as a practical professional skill.,,,,Frontend Developer
cpp,C/C++,c plus plus|cpp|c++,Programming Foundations,C/C++ as a practical professional skill.,,,,Frontend Developer
javascript,JavaScript,js|javascript programming,Web Development,JavaScript as a practical professional skill.,html,html|css,react|nodejs|typescript,Frontend Developer|Backend Developer|Full Stack Developer|JavaScript Developer
typescript,TypeScript,ts,Web Development,TypeScript as a practical professional skill.,javascript,javascript,,Frontend Developer
html,HTML,html5,Web Development,HTML as a practical professional skill.,,,,Frontend Developer|Full Stack Developer
css,CSS,css3,Web Development,CSS as a practical professional skill.,html,html,,Frontend Developer|Full Stack Developer
git,Git,git scm,Developer Tools,Git as a practical professional skill.,,,,Frontend Developer
github,GitHub,github,Developer Tools,GitHub as a practical professional skill.,git,git,,Frontend Developer
linux,Linux,linux cli|linux command line,Developer Tools,Linux as a practical professional skill.,,,,Frontend Developer
shell,Shell Scripting,bash|shell,Developer Tools,Shell Scripting as a practical professional skill.,linux,linux,,Frontend Developer
networking,Networking Basics,computer networking,Systems,Networking Basics as a practical professional skill.,linux,linux,,Frontend Developer
operating-systems,Operating Systems,os concepts,Systems,Operating Systems as a practical professional skill.,cpp,cpp,,Frontend Developer
clean-code,Clean Code,code quality,Developer Tools,Clean Code as a practical professional skill.,python,python|git,,Frontend Developer
testing,Software Testing,testing|unit testing,Developer Tools,Software Testing as a practical professional skill.,python,python|git,,Frontend Developer|Backend Developer|Full Stack Developer|Python Developer|JavaScript Developer
design-patterns,Design Patterns,oop design patterns,Developer Tools,Design Patterns as a practical professional skill.,clean-code,clean-code,,Frontend Developer
system-design,System Design,software architecture|system architecture,Systems,System Design as a practical professional skill.,networking,networking|operating-systems|api-design,,Backend Developer|Full Stack Developer|Cloud Engineer|SRE|Systems Engineer
api-design,API Design,api design,Web Development,API Design as a practical professional skill.,,,,Frontend Developer
rest-api,REST APIs,rest|restful api,Web Development,REST APIs as a practical professional skill.,api-design,api-design,,Frontend Developer
graphql,GraphQL,graphql api,Web Development,GraphQL as a practical professional skill.,api-design,api-design,,Frontend Developer
async-js,Async JavaScript,promises|async await,Web Development,Async JavaScript as a practical professional skill.,javascript,javascript,,Frontend Developer
react,React,reactjs|react.js,Web Development,React as a practical professional skill.,javascript,javascript|html|css,nextjs|react-native,Frontend Developer|Full Stack Developer
nextjs,Next.js,nextjs|next.js,Web Development,Next.js as a practical professional skill.,react,react|typescript,,Frontend Developer|Full Stack Developer
nodejs,Node.js,node|node.js,Web Development,Node.js as a practical professional skill.,javascript,javascript|async-js,,Backend Developer|Full Stack Developer|JavaScript Developer
django,Django,django framework,Web Development,Django as a practical professional skill.,python,python,,Python Developer|Backend Developer|Full Stack Developer
flask,Flask,flask api,Web Development,Flask as a practical professional skill.,python,python,,Frontend Developer
fastapi,FastAPI,fast api,Web Development,FastAPI as a practical professional skill.,python,python|api-design,,Python Developer|Backend Developer|Machine Learning Engineer|AI/LLM Engineer|MLOps Engineer
go,Go,golang,Programming Foundations,Go as a practical professional skill.,,,,Frontend Developer
spring-boot,Spring Boot,spring,Web Development,Spring Boot as a practical professional skill.,java,java|api-design,,Frontend Developer
react-native,React Native,reactnative,Mobile Development,React Native as a practical professional skill.,react,react|javascript,,Mobile Developer
flutter,Flutter,flutter sdk,Mobile Development,Flutter as a practical professional skill.,javascript,javascript,,Mobile Developer
android,Android Development,android sdk|kotlin android,Mobile Development,Android Development as a practical professional skill.,java,java,,Android Developer|Mobile Developer
ios,iOS Development,swift ios,Mobile Development,iOS Development as a practical professional skill.,swift,swift,,iOS Developer|Mobile Developer
sql,SQL,sql basics,Databases,SQL as a practical professional skill.,,,postgresql|mysql|data-modeling,Backend Developer|Full Stack Developer|Data Analyst|Data Scientist|Data Engineer|Machine Learning Engineer
postgresql,PostgreSQL,postgres,Databases,PostgreSQL as a practical professional skill.,sql,sql,,Backend Developer|Full Stack Developer|Data Engineer
mysql,MySQL,mysql db,Databases,MySQL as a practical professional skill.,sql,sql,,Frontend Developer
mongodb,MongoDB,mongo,Databases,MongoDB as a practical professional skill.,sql,sql,,Frontend Developer
redis,Redis,redis cache,Databases,Redis as a practical professional skill.,sql,sql,,Frontend Developer
data-modeling,Data Modeling,schema design,Databases,Data Modeling as a practical professional skill.,sql,sql,,Frontend Developer
indexing,Database Indexing,indexes,Databases,Database Indexing as a practical professional skill.,data-modeling,data-modeling,,Frontend Developer
db-optimization,Database Optimization,query optimization,Databases,Database Optimization as a practical professional skill.,sql,sql|indexing,,Frontend Developer
excel,Excel,spreadsheets,Data Analytics,Excel as a practical professional skill.,,,,Frontend Developer
power-bi,Power BI,powerbi,Data Analytics,Power BI as a practical professional skill.,excel,excel|sql,,Frontend Developer
tableau,Tableau,tableau analytics,Data Analytics,Tableau as a practical professional skill.,excel,excel|sql,,Frontend Developer
data-viz,Data Visualization,visualization|charts,Data Analytics,Data Visualization as a practical professional skill.,pandas,pandas|eda,,Frontend Developer
pandas,Pandas,python pandas,Data Analytics,Pandas as a practical professional skill.,python,python,,Data Analyst|Data Scientist|Data Engineer|Machine Learning Engineer
numpy,NumPy,numpy,Data Analytics,NumPy as a practical professional skill.,python,python,,Data Scientist|Machine Learning Engineer|Deep Learning Engineer
