skill_id,canonical_name,aliases,domain,description,parent_skill,prerequisites,related_skills,applicable_roles
python,Python,python programming|python3,Programming Foundations,General-purpose Python programming.,,,python-oop|python-data|python-automation,Python Developer|Data Analyst|Data Scientist|Machine Learning Engineer|AI/LLM Engineer|Backend Developer|Full Stack Developer
html,HTML,html5,Web Development,Semantic web document structure.,,,css|javascript,Frontend Developer|Full Stack Developer|JavaScript Developer
css,CSS,cascading style sheets,Web Development,"Styling, layout, and responsive presentation for the web.",,html,responsive-web,Frontend Developer|Full Stack Developer
javascript,JavaScript,js|ecmascript,Web Development,Core JavaScript for browser and application development.,,html|css,typescript|javascript-async|react|nodejs,Frontend Developer|Full Stack Developer|JavaScript Developer
java,Java,java programming,Programming Foundations,Core Java programming.,,,spring-boot,Backend Developer|Android Developer|JavaScript Developer
cpp,C++,cpp|c plus plus,Programming Foundations,C++ programming for systems and performance-oriented software.,,,embedded,Systems Engineer|Embedded Engineer
sql,SQL,structured query language,Databases,Relational querying and data manipulation.,,,postgresql|advanced-sql|data-modeling,Backend Developer|Full Stack Developer|Data Analyst|Data Scientist|Data Engineer|Machine Learning Engineer
git,Git,git version control|github,Developer Tools,Version control and collaborative Git workflows.,,,cicd,Frontend Developer|Backend Developer|Full Stack Developer|DevOps Engineer|MLOps Engineer
linux,Linux,linux basics,Developer Tools,Linux command line and operating system fundamentals.,,,shell|docker,DevOps Engineer|Cloud Engineer|SRE|Systems Engineer|Cybersecurity Engineer
shell,Shell,bash|shell scripting,Developer Tools,Command-line automation and shell scripting.,,linux,python-automation,DevOps Engineer|Cloud Engineer|SRE|Systems Engineer
excel,Excel,microsoft excel|spreadsheets,Data Analytics,Spreadsheet analysis and business data workflows.,,,data-analysis|data-visualization,Data Analyst
python-oop,Python OOP,object oriented python|python classes,Programming Foundations,Object-oriented programming patterns in Python.,python,,advanced-python,Python Developer|Backend Developer|Full Stack Developer
advanced-python,Advanced Python,advanced python programming,Programming Foundations,Advanced Python language and engineering techniques.,python-oop,,python-production,Python Developer|Backend Developer|Full Stack Developer|AI/LLM Engineer
python-automation,Python Automation,python scripting|automation,Programming Foundations,Automating repeatable workflows with Python.,python-oop,,,Python Developer|Backend Developer|DevOps Engineer
python-production,Python Production Engineering,production python,Programming Foundations,Production-oriented Python engineering practices.,advanced-python,,,Python Developer|Backend Developer|Full Stack Developer
javascript-async,Async JavaScript,promises|async await,Web Development,"Asynchronous JavaScript, promises, and event-driven flows.",javascript,,react|nodejs,JavaScript Developer|Frontend Developer|Backend Developer
typescript,TypeScript,ts,Web Development,Typed JavaScript for maintainable application code.,javascript,,react|nodejs,Frontend Developer|Full Stack Developer|JavaScript Developer
responsive-web,Responsive Web Design,responsive design|mobile-first css,Web Development,Responsive layouts and device-friendly web interfaces.,html,,react,Frontend Developer|Full Stack Developer
react,React,reactjs|react.js,Web Development,Component-based UI development with React.,javascript,,rest-api|typescript|testing,Frontend Developer|Full Stack Developer|JavaScript Developer
angular,Angular,angular framework,Web Development,Enterprise-oriented frontend development with Angular.,javascript,,typescript|rest-api,Frontend Developer|Full Stack Developer
vue,Vue,vuejs|vue.js,Web Development,Frontend development using Vue.,javascript,,rest-api|typescript,Frontend Developer|JavaScript Developer
react-native,React Native,react native,Mobile Development,Cross-platform mobile apps with React Native.,react,,mobile-development,Mobile Developer|Android Developer|iOS Developer
flutter,Flutter,flutter dart,Mobile Development,Cross-platform application development with Flutter.,python,,mobile-development,Mobile Developer|Android Developer|iOS Developer
mobile-development,Mobile Development,mobile apps,Mobile Development,Core mobile application architecture and delivery.,,,android|ios|react-native|flutter,Mobile Developer|Android Developer|iOS Developer
android,Android,android development|android studio,Mobile Development,Native Android application development.,java,,mobile-development,Android Developer|Mobile Developer
ios,iOS,ios development|apple development,Mobile Development,Native iOS application development.,swift,,mobile-development,iOS Developer|Mobile Developer
swift,Swift,swift programming,Mobile Development,Swift programming for Apple platforms.,,,ios,iOS Developer
