slug,title,domain,difficulty,skills,description,portfolio_value,project_type,target_roles,required_skill_ids,prerequisite_skill_ids,demonstrates_skill_ids,compatible_stack_ids,estimated_hours,learning_outcomes
cli-toolkit,Personal Command-Line Toolkit,Programming Foundations,Beginner,"Linux Command Line Essentials,Git and GitHub Mastery","Build a small set of shell scripts that automate something you actually do every week, and publish them as a documented GitHub repo.",Medium,tooling,Backend Developer;Full Stack Developer;DevOps Engineer,linux|shell|git,linux|shell,linux|shell|git,linux|shell|git,10,"Practice Linux, Shell, Git"
data-cleaning-sprint,Data Cleaning Sprint,Data Analytics,Beginner,"Excel for Data Analysis,SQL for Beginners","Take a messy public dataset and produce a clean, documented version with a short write-up of every decision you made.",Medium,analysis,Data Analyst;Data Scientist,excel|sql,excel|sql,excel|sql|data-visualization,excel|sql,10,"Practice Excel, SQL, Data Visualization"
portfolio-website,Personal Portfolio Website,Web Development,Beginner,"HTML and CSS for Beginners,Responsive Web Design",Design and build a responsive personal portfolio site from scratch — the project every frontend interview expects you to already have.,High,frontend,Frontend Developer,html|css|responsive-web,html|css,html|css|responsive-web|testing|deployment,html|css|responsive-web,10,"Practice HTML, CSS, Responsive Web Design, Software Testing"
interactive-landing-page,Interactive Product Landing Page,Web Development,Beginner,"JavaScript Fundamentals,Responsive Web Design","Build a landing page with real interactivity — form validation, a mobile nav menu, smooth scrolling — no framework needed yet.",Medium,frontend,Frontend Developer,javascript|responsive-web,javascript|responsive-web,javascript|responsive-web|testing|deployment,javascript|responsive-web,10,"Practice JavaScript, Responsive Web Design, Software Testing, Application Deployment"
task-manager-react,Task Management App (React),Web Development,Intermediate,"React.js Development,Modern JavaScript ES6 Plus",Build a full CRUD task manager in React with local state and persistence — the classic frontend portfolio project done properly.,High,frontend,Frontend Developer,react|javascript|javascript-async,react|javascript,react|javascript|javascript-async|testing|deployment,react|javascript|javascript-async,24,"Practice React, JavaScript, Async JavaScript, Software Testing"
ecommerce-frontend-react,E-Commerce Storefront Frontend,Web Development,Advanced,"React.js Development,TypeScript for Developers,REST API Design Principles","Build a product-listing and cart storefront in React + TypeScript that consumes a real REST API — cart state, filtering, checkout flow.",High,frontend,Frontend Developer;Full Stack Developer,react|typescript|rest-api,react|typescript,react|typescript|rest-api|testing|deployment,react|typescript|rest-api,40,"Practice React, TypeScript, REST APIs, Software Testing"
url-shortener-api,URL Shortener REST API,Web Development,Beginner,"REST API Design Principles,SQL for Beginners","Build and document a REST API that shortens URLs and tracks click counts — a small, complete backend project with real persistence.",Medium,backend,Backend Developer,rest-api|sql,rest-api|sql,rest-api|sql|testing|deployment,rest-api|sql,10,"Practice REST APIs, SQL, Software Testing, Application Deployment"
auth-service,Authentication Service,Web Development,Intermediate,"Node.js Backend Development,PostgreSQL Database Design","Build a standalone auth service — signup, login, hashed passwords, sessions/JWT — the piece every backend job actually tests for.",High,backend,Backend Developer;Full Stack Developer,nodejs|postgresql|data-modeling,nodejs|postgresql,nodejs|postgresql|data-modeling|testing|deployment,nodejs|postgresql|data-modeling,24,"Practice Node.js, PostgreSQL, Data Modeling, Software Testing"
django-blog-api,Blog Platform Backend (Django),Web Development,Intermediate,"Django Web Framework,PostgreSQL Database Design","Build a blog backend with posts, comments, and an admin panel in Django — a CRUD-backed API most backend roles expect.",High,backend,Backend Developer,django|postgresql|data-modeling,django|postgresql,django|postgresql|data-modeling|testing|deployment,django|postgresql|data-modeling,24,"Practice Django, PostgreSQL, Data Modeling, Software Testing"
flask-crud-api,CRUD API with Flask,Web Development,Beginner,"Flask API Development,SQL for Beginners","Build a documented CRUD API in Flask for a resource of your choice, with proper status codes and validation.",Medium,backend,Backend Developer,flask|sql,flask|sql,flask|sql|testing|deployment,flask|sql,10,"Practice Flask, SQL, Software Testing, Application Deployment"
graphql-catalog-api,Product Catalog GraphQL API,Web Development,Advanced,"GraphQL API Development,PostgreSQL Database Design",Build a GraphQL API over a product catalog with nested queries and mutations — shows you can go beyond basic REST.,Medium,backend,Backend Developer,graphql|postgresql|data-modeling,graphql|postgresql,graphql|postgresql|data-modeling|testing|deployment,graphql|postgresql|data-modeling,40,"Practice GraphQL, PostgreSQL, Data Modeling, Software Testing"
fullstack-task-manager,Full-Stack Task Manager,Web Development,Advanced,"JavaScript Full Stack Development,PostgreSQL Database Design,REST API Design Principles","Build a task manager with a Node.js backend, a database, and a connected frontend — the project that actually proves 'full stack'.",High,fullstack,Full Stack Developer,javascript-fullstack|postgresql|data-modeling|rest-api,javascript-fullstack|postgresql|data-modeling,javascript-fullstack|postgresql|data-modeling|rest-api|testing|deployment,javascript-fullstack|postgresql|data-modeling|rest-api,40,"Practice JavaScript Full Stack, PostgreSQL, Data Modeling, REST APIs"
booking-app-fullstack,Booking / Reservation App,Web Development,Advanced,"Django Web Framework,React.js Development,PostgreSQL Database Design","Build a booking system (appointments, rooms, or events) with a Django backend and a React frontend talking to a real database.",High,fullstack,Full Stack Developer,django|react|postgresql|data-modeling,django|react|postgresql,django|react|postgresql|data-modeling|testing|deployment,django|react|postgresql|data-modeling,40,"Practice Django, React, PostgreSQL, Data Modeling"
